id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
6530,,Weyregg,13.5675,47.906387,469.0,1974-06-01 00:00:00+00:00,1997-08-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
6540,11087,Unterach am Attersee,13.483611,47.802776,470.0,2019-05-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
6550,,Weißenkirchen,13.416667,47.950001,650.0,1948-01-01 00:00:00+00:00,1964-07-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
6600,,Ebensee,13.790833,47.810276,424.0,1936-02-01 00:00:00+00:00,1983-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
6610,,Feuerkogel,13.71833,47.81777,1618.0,1928-01-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich,True,True,,205,1928-01-01 00:00:00+00:00,2008-12-31 23:59:59+00:00,nein
6611,11155,Feuerkogel,13.71778,47.81667,1618.0,1989-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,205,2009-01-01 00:00:00+00:00,,nein
6619,,Gmunden,13.78333,47.91667,424.0,1929-09-27 00:00:00+00:00,1981-03-31 00:00:00+00:00,Oberösterreich,True,True,,29,1930-01-01 00:00:00+00:00,1981-03-31 23:59:59+00:00,nein
6620,11154,Gmunden,13.8075,47.91472,424.4,1982-08-12 00:00:00+00:00,2016-04-26 00:00:00+00:00,Oberösterreich,True,True,,29,1982-08-13 00:00:00+00:00,2016-04-26 23:59:59+00:00,nein
6621,11254,Altmünster,13.77333,47.87917,438.0,2014-11-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
6630,,Lenzing,13.616667,47.983334,466.0,1954-03-01 00:00:00+00:00,1964-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
6700,,Grünau,13.951111,47.864166,540.0,1972-05-01 00:00:00+00:00,1998-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
6800,,Kirchdorf,14.130834,47.899445,445.0,1971-01-01 00:00:00+00:00,2004-06-30 00:00:00+00:00,Oberösterreich,False,False,,144,1978-11-01 00:00:00+00:00,2004-06-30 23:59:59+00:00,nein
6802,,Micheldorf,14.135,47.882778,459.0,2005-08-01 00:00:00+00:00,2008-07-16 00:00:00+00:00,Oberösterreich,False,False,,144,2005-08-10 00:00:00+00:00,2008-07-16 23:59:59+00:00,nein
6803,11347,Micheldorf,14.13444,47.88306,459.0,2008-07-31 00:00:00+00:00,2022-09-12 00:00:00+00:00,Oberösterreich,True,True,,144,2008-08-01 00:00:00+00:00,2022-09-12 16:59:59+00:00,nein
6804,11347,Micheldorf,14.117222,47.88388,443.0,2022-09-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,144,2022-09-13 00:00:00+00:00,,nein
6900,,Ternberg,14.353889,47.954445,350.0,1961-01-01 00:00:00+00:00,2003-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
6905,,Reichraming,14.483334,47.883335,380.0,1941-10-01 00:00:00+00:00,1952-05-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
6910,,Großraming Kraftwerk,14.517777,47.893333,379.0,1952-06-01 00:00:00+00:00,2000-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
7000,,Weyer,14.666667,47.866665,410.0,1968-06-01 00:00:00+00:00,1989-06-30 00:00:00+00:00,Oberösterreich,True,False,,104,1968-06-01 00:00:00+00:00,1989-06-30 23:59:59+00:00,nein
7001,,Weyer,14.667222,47.857777,428.0,1989-07-01 00:00:00+00:00,2007-08-31 00:00:00+00:00,Oberösterreich,True,False,,104,1989-07-01 00:00:00+00:00,2007-08-31 23:59:59+00:00,nein
7002,11341,Weyer,14.66572,47.85719,426.1,2007-07-05 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,104,2007-09-01 00:00:00+00:00,,nein
7010,,Waidhofen an der Ybbs,14.766666,47.966667,365.0,1924-12-01 00:00:00+00:00,1988-10-31 00:00:00+00:00,Niederösterreich,False,False,,101,1924-12-01 00:00:00+00:00,1988-10-31 23:59:59+00:00,nein
7011,,Waidhofen an der Ybbs,14.755,47.95417,421.0,1989-08-01 00:00:00+00:00,2004-12-16 00:00:00+00:00,Niederösterreich,False,False,,101,1989-08-01 00:00:00+00:00,2004-11-30 23:59:59+00:00,nein
7012,11368,Waidhofen an der Ybbs/Zentrum,14.78444,47.95778,365.1,2002-10-10 00:00:00+00:00,2019-06-04 00:00:00+00:00,Niederösterreich,True,True,,101,2004-12-01 00:00:00+00:00,2017-12-31 23:59:59+00:00,nein
7013,11071,Waidhofen an der Ybbs,14.80972,47.94556,384.0,2017-03-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,101,2018-01-01 00:00:00+00:00,,nein
7020,,Lunz,15.0,47.849998,612.0,1927-01-01 00:00:00+00:00,1977-09-30 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7101,,Göstling an der Ybbs,14.931389,47.810555,527.0,1981-05-01 00:00:00+00:00,1995-06-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7110,11170,Lunz am See,15.06758,47.85436,611.9,1994-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
7125,,Lassing,14.9,47.75,686.0,1985-11-01 00:00:00+00:00,1988-06-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7200,,Mariazell,15.316667,47.766666,875.0,1970-11-01 00:00:00+00:00,1987-12-31 00:00:00+00:00,Steiermark,True,False,,59,1970-11-01 00:00:00+00:00,1987-12-31 23:59:59+00:00,nein
7202,,Mariazell,15.316667,47.766666,865.0,1948-01-01 00:00:00+00:00,1970-10-31 00:00:00+00:00,Steiermark,False,False,,59,1948-01-01 00:00:00+00:00,1970-10-31 23:59:59+00:00,nein
7220,,St. Sebastian bei Mariazell,15.303056,47.793335,872.0,1987-01-01 00:00:00+00:00,2000-12-31 00:00:00+00:00,Steiermark,True,False,,59,1988-01-01 00:00:00+00:00,2000-12-31 23:59:59+00:00,nein
7221,11171,Mariazell/St. Sebastian,15.30222,47.78917,864.0,2000-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,59,2001-01-01 00:00:00+00:00,,nein
7300,,Annaberg,15.4,47.883335,840.0,1981-01-01 00:00:00+00:00,1989-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7301,8989084,Kernhof-St. Aegyd am Neuwalde,15.547972,47.819333,679.0,2022-05-06 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7305,11386,Krumbach,16.18667,47.52806,545.2,2006-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7400,,Schwarzau im Gebirge,15.703055,47.803333,612.0,1936-01-01 00:00:00+00:00,2000-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7500,11382,Puchberg am Schneeberg,15.90944,47.79028,580.0,1982-12-01 00:00:00+00:00,1998-03-31 00:00:00+00:00,Niederösterreich,True,True,,72,1983-01-01 00:00:00+00:00,1998-03-31 23:59:59+00:00,nein
7502,,Puchberg,15.916667,47.783333,590.0,1949-06-01 00:00:00+00:00,1982-12-31 00:00:00+00:00,Niederösterreich,True,False,,72,1949-06-04 00:00:00+00:00,1982-12-31 23:59:59+00:00,nein
7505,11382,Puchberg am Schneeberg,15.90694,47.79028,582.8,1998-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,72,1998-04-01 00:00:00+00:00,,nein
7530,,Hohe Wand Hochkogelhaus,16.033333,47.816666,932.0,1991-05-01 00:00:00+00:00,1993-07-31 00:00:00+00:00,Niederösterreich,False,False,,36,1991-05-01 00:00:00+00:00,1993-07-31 23:59:59+00:00,nein
7531,11385,Hohe Wand Hochkogelhaus,16.035,47.82222,936.9,1993-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,36,1993-08-01 00:00:00+00:00,,nein
7601,,Wiener Neustadt Fohlenhof,16.26667,47.8,270.0,1971-01-01 00:00:00+00:00,1980-03-31 00:00:00+00:00,Niederösterreich,True,False,,112,1971-01-01 00:00:00+00:00,1980-03-31 23:59:59+00:00,nein
7603,,Wiener Neustadt Flugplatz,16.22139,47.84028,285.0,1982-01-01 00:00:00+00:00,1993-02-28 00:00:00+00:00,Niederösterreich,True,False,,112,1982-01-01 00:00:00+00:00,1993-01-31 23:59:59+00:00,nein
7604,11182,Wiener Neustadt Flugplatz,16.23147,47.83233,275.0,1992-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,112,1993-02-01 00:00:00+00:00,,nein
7606,,Wiener Neustadt Rebanlage,16.266666,47.796665,272.0,1948-09-01 00:00:00+00:00,1970-12-31 00:00:00+00:00,Niederösterreich,True,False,,112,1948-09-01 00:00:00+00:00,1970-12-31 23:59:59+00:00,nein
7609,,Wiener Neustadt Flugplatz,16.266666,47.783333,272.0,1943-01-01 00:00:00+00:00,1944-09-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7610,11378,Gutenstein Mariahilfberg,15.87611,47.87139,708.9,1996-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7640,,Berndorf,16.10528,47.94111,339.0,1992-11-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,False,False,,164,1992-11-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
7641,11079,Berndorf,16.10111,47.93917,337.0,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,164,2008-01-01 00:00:00+00:00,,nein
7653,8989081,Bad Vöslau,16.209444,47.961111,266.0,2021-09-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7700,,Eisenstadt,16.54583,47.84444,159.0,1975-06-01 00:00:00+00:00,1988-12-31 00:00:00+00:00,Burgenland,True,False,,22,1975-10-01 00:00:00+00:00,1988-12-31 23:59:59+00:00,nein
7701,,Eisenstadt,16.51667,47.85,195.0,1936-01-01 00:00:00+00:00,1975-09-30 00:00:00+00:00,Burgenland,False,False,,22,1936-01-01 00:00:00+00:00,1975-09-30 23:59:59+00:00,nein
7704,11190,Eisenstadt Nordost,16.53833,47.85417,184.0,1989-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,22,1989-01-01 00:00:00+00:00,,nein
7710,11387,Seibersdorf,16.504444,47.975,185.0,1982-06-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,197,1982-06-21 00:00:00+00:00,,nein
7711,,Seibersdorf,16.516666,47.983334,183.0,1961-06-01 00:00:00+00:00,1979-10-31 00:00:00+00:00,Niederösterreich,False,False,,197,1961-06-01 00:00:00+00:00,1979-10-31 23:59:59+00:00,nein
7712,,Seibersdorf,16.533333,47.950001,182.0,1936-01-01 00:00:00+00:00,1937-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7714,8989114,Hornstein,16.452103,47.877606,312.0,2024-03-06 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,nein
7715,,Ebenfurth,16.366667,47.866665,234.0,1936-01-01 00:00:00+00:00,1938-01-01 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7818,,Illmitz,16.768888,47.771111,117.0,1990-12-01 00:00:00+00:00,2004-02-29 00:00:00+00:00,Burgenland,True,True,,,,,nein
7821,,Rust am See,16.674999,47.799999,122.0,1936-01-01 00:00:00+00:00,1938-01-01 00:00:00+00:00,Burgenland,False,False,,,,,nein
7890,11072,Neusiedl am See,16.82889,47.94917,117.0,2017-01-20 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,65,2017-01-20 00:00:00+00:00,,nein
7900,,Neusiedl am See,16.866667,47.950001,133.0,1925-10-21 00:00:00+00:00,1984-07-31 00:00:00+00:00,Burgenland,True,False,,65,1948-01-01 00:00:00+00:00,1984-07-31 23:59:59+00:00,nein
7901,,Neusiedl am See,16.85,47.950001,140.0,1936-01-01 00:00:00+00:00,1945-02-28 00:00:00+00:00,Burgenland,True,False,,65,1936-01-01 00:00:00+00:00,1945-02-28 23:59:59+00:00,nein
7904,,Frauenkirchen,16.916666,47.833332,124.0,1982-06-01 00:00:00+00:00,1988-09-30 00:00:00+00:00,Burgenland,False,False,,,,,nein
7905,11194,Neusiedl am See,16.85778,47.9425,135.0,1984-07-01 00:00:00+00:00,2004-07-31 00:00:00+00:00,Burgenland,True,True,,65,1984-08-01 00:00:00+00:00,2004-07-31 23:59:59+00:00,nein
7906,11194,Neusiedl am See,16.84167,47.95083,148.0,2004-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,65,2004-08-01 00:00:00+00:00,2017-01-19 23:59:59+00:00,nein
7912,11084,Podersdorf Strandbad,16.83444,47.86611,116.0,2014-07-22 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,nein
7950,,Andau,17.033333,47.783333,118.0,1933-01-23 00:00:00+00:00,1960-06-30 00:00:00+00:00,Burgenland,True,False,,,,,nein
7955,8989072,Andau,17.03333,47.7725,117.5,1995-08-01 00:00:00+00:00,2022-06-21 00:00:00+00:00,Burgenland,True,True,,218,1995-08-01 00:00:00+00:00,2021-06-30 23:59:59+00:00,nein
7956,11395,Andau,17.03556,47.77,117.0,2021-06-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,218,2021-07-01 00:00:00+00:00,,nein
8205,,Bregenz/Mehrerau,9.75,47.5,427.0,1936-01-01 00:00:00+00:00,1944-09-30 00:00:00+00:00,Vorarlberg,False,False,,,,,nein
8301,11100,Sulzberg,9.91416,47.52194,1014.0,2008-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
8302,,Sulzberg,9.914722,47.522222,1015.0,2009-01-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,Vorarlberg,False,False,,,,,nein
8501,,Vils,10.595493,47.558625,836.0,1947-09-01 00:00:00+00:00,1977-12-31 00:00:00+00:00,Tirol,False,False,,,,,nein
8800,,Achenkirch,11.7,47.53333,905.0,1987-08-01 00:00:00+00:00,1998-06-30 00:00:00+00:00,Tirol,False,False,,151,1987-08-01 00:00:00+00:00,1998-06-30 23:59:59+00:00,nein
8805,11328,Achenkirch,11.70528,47.53222,904.0,1998-07-01 00:00:00+00:00,2020-05-31 00:00:00+00:00,Tirol,True,True,,151,1998-07-01 00:00:00+00:00,2016-10-31 23:59:59+00:00,nein
8806,11266,Achenkirch,11.70667,47.49944,931.0,2016-10-06 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,151,2016-11-01 00:00:00+00:00,,nein
8807,,Achenkirch,11.700833,47.5075,937.0,2020-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,False,False,,,,,nein
8900,,Kreit,12.075556,47.541111,625.0,1988-10-01 00:00:00+00:00,1996-12-31 00:00:00+00:00,Tirol,False,False,,,,,nein
9000,,Kirchbichl,12.086667,47.515556,498.0,1966-08-01 00:00:00+00:00,2001-05-31 00:00:00+00:00,Tirol,True,False,,212,1966-08-01 00:00:00+00:00,2001-05-31 23:59:59+00:00,nein
9001,,Kirchbichl,12.083333,47.5,514.0,1936-01-01 00:00:00+00:00,1941-03-31 00:00:00+00:00,Tirol,False,False,,212,1936-01-01 00:00:00+00:00,1941-03-31 23:59:59+00:00,nein
9010,,Kufstein,12.163889,47.574165,492.0,1905-01-01 00:00:00+00:00,2002-12-31 00:00:00+00:00,Tirol,False,False,,142,1905-01-01 00:00:00+00:00,2002-12-31 23:59:59+00:00,nein
9011,,Oberndorf/Ebbs,12.2,47.616665,474.0,1984-01-01 00:00:00+00:00,1996-12-31 00:00:00+00:00,Tirol,True,False,,,,,nein
9016,11130,Kufstein,12.16278,47.57528,490.0,1992-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,142,2003-01-01 00:00:00+00:00,,nein
9019,11069,Söll,12.20028,47.50306,697.0,2015-06-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,214,2015-07-01 00:00:00+00:00,,nein
9105,11327,Kirchdorf in Tirol,12.46306,47.56611,636.6,2006-06-15 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
9110,11131,Kössen,12.39381,47.66289,588.2,2008-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
9111,,Kössen,12.393888,47.663055,589.0,2009-01-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Tirol,False,False,,,,,nein
9200,,Unken,12.743055,47.663055,545.0,1948-01-01 00:00:00+00:00,1989-06-30 00:00:00+00:00,Salzburg,False,False,,99,1948-01-01 00:00:00+00:00,1989-06-30 23:59:59+00:00,nein
9201,,Unken,12.723333,47.645,582.0,1989-07-06 00:00:00+00:00,1990-06-30 00:00:00+00:00,Salzburg,False,False,,99,1989-07-06 00:00:00+00:00,1990-06-30 23:59:59+00:00,nein
9210,,Lofer,12.69167,47.58111,629.0,1990-06-12 00:00:00+00:00,2000-10-31 00:00:00+00:00,Salzburg,False,False,,129,1990-06-01 00:00:00+00:00,2000-10-31 23:59:59+00:00,nein
9211,11140,Lofer Ort,12.69528,47.58444,622.0,1999-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,129,2000-11-01 00:00:00+00:00,,nein
9215,11337,Loferer Alm,12.64611,47.59778,1619.0,1994-11-10 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
9400,,Dürrnberg,13.083333,47.666668,801.0,1966-09-01 00:00:00+00:00,1982-06-30 00:00:00+00:00,Salzburg,False,False,,,,,nein
9406,11371,Golling,13.18178,47.59114,489.9,2008-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
9410,,Hallein,13.1,47.683334,450.0,1947-05-01 00:00:00+00:00,1995-06-30 00:00:00+00:00,Salzburg,False,False,,,,,nein
9450,,St. Koloman,13.2325,47.651669,1000.0,1990-08-01 00:00:00+00:00,2008-08-31 00:00:00+00:00,Salzburg,True,False,,,,,nein
9500,,Abtenau,13.348333,47.564445,714.0,1963-08-01 00:00:00+00:00,2001-04-30 00:00:00+00:00,Salzburg,True,False,,165,1963-08-01 00:00:00+00:00,2001-04-30 23:59:59+00:00,nein
9501,11369,Abtenau,13.34333,47.56667,709.0,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,165,2008-06-25 00:00:00+00:00,,nein
9509,,St. Wolfgang,13.416667,47.75,568.0,1936-01-01 00:00:00+00:00,1944-09-30 00:00:00+00:00,Oberösterreich,False,False,,109,1936-01-01 00:00:00+00:00,1944-09-30 23:59:59+00:00,nein
9510,,St. Wolfgang,13.45,47.733334,575.0,1964-11-01 00:00:00+00:00,1987-07-31 00:00:00+00:00,Oberösterreich,False,False,,109,1964-11-01 00:00:00+00:00,1987-07-31 23:59:59+00:00,nein
9511,11357,St. Wolfgang,13.45,47.73694,539.0,1990-02-01 00:00:00+00:00,2013-09-30 00:00:00+00:00,Oberösterreich,True,False,,109,1990-02-01 00:00:00+00:00,2013-09-30 23:59:59+00:00,nein
9512,11357,St. Wolfgang,13.44194,47.74028,544.0,2013-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,109,2013-10-01 00:00:00+00:00,,nein
9600,,Bad Goisern,13.616667,47.633335,496.0,1986-10-01 00:00:00+00:00,1991-06-30 00:00:00+00:00,Oberösterreich,True,False,,9,1986-10-01 00:00:00+00:00,1991-06-30 23:59:59+00:00,nein
9602,,Bad Goisern,13.616667,47.633335,506.0,1967-01-01 00:00:00+00:00,1986-09-30 00:00:00+00:00,Oberösterreich,True,False,,9,1967-01-01 00:00:00+00:00,1986-09-30 23:59:59+00:00,nein
9603,,Bad Goisern,13.616667,47.633335,510.0,1991-11-01 00:00:00+00:00,1994-12-31 00:00:00+00:00,Oberösterreich,True,False,,9,1991-11-01 00:00:00+00:00,1994-12-31 23:59:59+00:00,nein
9605,11354,Bad Goisern,13.61667,47.63333,510.0,1994-09-01 00:00:00+00:00,1997-12-31 00:00:00+00:00,Oberösterreich,True,False,,9,1995-01-01 00:00:00+00:00,1997-12-31 23:59:59+00:00,nein
9606,11354,Bad Goisern,13.61803,47.64256,502.1,1998-01-01 00:00:00+00:00,2016-02-14 00:00:00+00:00,Oberösterreich,True,True,,9,1998-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00,nein
9608,,Bad Goisern,13.616667,47.650002,500.0,1928-08-08 00:00:00+00:00,1948-05-10 00:00:00+00:00,Oberösterreich,True,False,,9,1936-01-01 00:00:00+00:00,1948-05-10 23:59:59+00:00,nein
9609,11256,Bad Goisern,13.64472,47.62194,538.0,2014-11-18 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,9,2015-01-01 00:00:00+00:00,,nein
9610,,Bad Ischl,13.631667,47.716667,469.0,1968-11-01 00:00:00+00:00,2003-10-31 00:00:00+00:00,Oberösterreich,True,False,,132,1968-11-01 00:00:00+00:00,2003-10-31 23:59:59+00:00,nein
9611,,Bad Ischl,13.65,47.706665,512.0,2003-11-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Oberösterreich,True,False,,132,2003-11-01 00:00:00+00:00,2007-06-30 23:59:59+00:00,nein
9613,,Bad Ischl,13.616111,47.715,480.0,1942-04-18 00:00:00+00:00,1962-06-30 00:00:00+00:00,Oberösterreich,True,False,,132,1942-05-01 00:00:00+00:00,1962-06-30 23:59:59+00:00,nein
9616,,Bad Ischl,13.616667,47.716667,469.0,1930-11-07 00:00:00+00:00,1942-04-30 00:00:00+00:00,Oberösterreich,True,False,,132,1936-01-01 00:00:00+00:00,1942-04-30 23:59:59+00:00,nein
9617,,Bad Ischl,13.616111,47.715,508.0,1962-07-01 00:00:00+00:00,1967-12-31 00:00:00+00:00,Oberösterreich,True,False,,132,1962-07-01 00:00:00+00:00,1967-12-31 23:59:59+00:00,nein
9618,11361,Bad Ischl,13.64714,47.70619,506.7,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,132,2007-07-01 00:00:00+00:00,,nein
9620,,Krippenstein,13.7,47.516666,2050.0,1956-03-21 00:00:00+00:00,2008-06-30 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
9630,,Schönbergalm,13.716666,47.533333,1350.0,1957-01-01 00:00:00+00:00,1980-12-31 00:00:00+00:00,Salzburg,True,False,,,,,nein
9640,11356,Bad Aussee,13.78278,47.61111,667.0,1983-09-01 00:00:00+00:00,2013-01-31 00:00:00+00:00,Steiermark,True,False,,5,1983-09-01 00:00:00+00:00,2013-01-31 23:59:59+00:00,nein
9643,11356,Bad Aussee,13.75844,47.6105,743.1,2013-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,False,,5,2013-02-01 00:00:00+00:00,,nein
9650,,Hallstatt,13.65,47.549999,525.0,1938-01-01 00:00:00+00:00,1968-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
9700,11358,Bad Mitterndorf,13.93472,47.55333,814.0,1983-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,10,1983-11-01 00:00:00+00:00,,nein
9701,,Bad Mitterndorf,13.95,47.549999,803.0,1970-01-01 00:00:00+00:00,1983-10-31 00:00:00+00:00,Steiermark,True,True,,10,1970-01-01 00:00:00+00:00,1983-10-31 23:59:59+00:00,nein
9800,,Aigen im Ennstal,14.13333,47.53333,640.0,1939-03-01 00:00:00+00:00,1993-01-31 00:00:00+00:00,Steiermark,False,False,,2,1939-03-01 00:00:00+00:00,1993-01-31 23:59:59+00:00,nein
9801,11157,Aigen im Ennstal,14.13826,47.53278,641.0,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,2,1993-02-01 00:00:00+00:00,,nein
9810,,Irdning-Gumpenstein,14.1,47.5,710.0,1953-12-01 00:00:00+00:00,1993-01-31 00:00:00+00:00,Steiermark,True,False,,40,1953-12-01 00:00:00+00:00,1993-01-31 23:59:59+00:00,nein
9811,11360,Irdning-Gumpenstein,14.09967,47.495,697.1,1990-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,40,1993-02-01 00:00:00+00:00,,nein
9820,,Rading,14.316667,47.733334,640.0,1950-06-01 00:00:00+00:00,1951-05-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
9900,,Admont,14.456944,47.573055,648.0,1959-12-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Steiermark,False,False,,166,1959-12-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
9901,,Admont Moorwirtschaft,14.45,47.583332,620.0,1934-03-01 00:00:00+00:00,1955-07-31 00:00:00+00:00,Steiermark,True,False,,166,1936-01-01 00:00:00+00:00,1955-07-31 23:59:59+00:00,nein
9902,,Admont Kaiserau,14.466666,47.549999,1120.0,1940-09-01 00:00:00+00:00,1955-10-31 00:00:00+00:00,Steiermark,False,False,,,,,nein
9904,,Admont Lager,14.45,47.566666,646.0,1955-08-01 00:00:00+00:00,1959-11-30 00:00:00+00:00,Steiermark,False,False,,166,1955-08-01 00:00:00+00:00,1959-11-30 23:59:59+00:00,nein
9905,,Admont Grabnerhof,14.466666,47.599998,670.0,1948-01-01 00:00:00+00:00,1953-10-31 00:00:00+00:00,Steiermark,True,False,,,,,nein
9906,,Admont Stift,14.45,47.583332,648.0,1895-07-01 00:00:00+00:00,1938-08-31 00:00:00+00:00,Steiermark,False,False,,166,1895-07-01 00:00:00+00:00,1935-12-31 23:59:59+00:00,nein
9910,,Hall bei Admont,14.466666,47.599998,640.0,1973-07-01 00:00:00+00:00,1977-08-01 00:00:00+00:00,Steiermark,False,False,,,,,nein
9911,11167,Hall bei Admont,14.49083,47.59444,637.0,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,166,2008-01-01 00:00:00+00:00,,nein
9919,11355,Windischgarsten,14.32611,47.72028,599.9,1983-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,108,1983-10-07 00:00:00+00:00,,nein
9925,11063,Rottenmann,14.43028,47.50767,707.2,2009-08-31 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
10000,,Hieflau,14.75,47.599998,492.0,1936-01-01 00:00:00+00:00,1997-04-30 00:00:00+00:00,Steiermark,False,False,,35,1936-01-01 00:00:00+00:00,1997-04-30 23:59:59+00:00,nein
10002,,Hieflau,14.738055,47.594444,779.0,1998-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Steiermark,False,False,,35,1998-01-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
10005,11199,Mooslandl,14.76167,47.64753,529.9,2005-09-16 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
10010,,Johnsbach,14.6,47.533333,840.0,1983-07-01 00:00:00+00:00,1983-09-30 00:00:00+00:00,Steiermark,False,False,,,,,nein
